
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
Steveboo		 Probezeit	 604	[2:373:4]	 01.07.2014	 On	
Philanthrop		 Probezeit	 689	[1:363:4]	 03.07.2014	 Off	
smokingz		 Imperator	 705	[1:376:4]	 27.06.2014	 On	
Bombertina		 Imperator	 843	[2:170:8]	 27.06.2014	 Off	
Wrong Destiny		 Imperator	 879	[1:50:6]	 28.06.2014	 21 Min.	
Starchild		 Imperator	 1039	[1:28:7]	 27.06.2014	 42 Min.	
KrueMelChen		 Imperator	 1198	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1274	[3:113:4]	 02.07.2014	 Off	

W4R_MaChINE		 Gründer	 77	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 83	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 103	[1:222:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 130	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 142	[1:421:9]	 27.06.2014	 On	
trendsetter		 Probezeit	 162	[3:114:6]	 01.07.2014	 On	
dywk		 Imperator	 169	[8:130:12]	 27.06.2014	 On	
varus		 Imperator	 327	[3:250:8]	 27.06.2014	 On	
Blesur		 Probezeit	 392	[2:105:8]	 04.07.2014	 On	
Gajeel		 Probezeit	 420	[2:100:5]	 05.07.2014	 On	
blindi		 Probezeit	 434	[1:363:6]	 03.07.2014	 Off	
reb0RN		 Imperator	 443	[8:129:9]	 27.06.2014	 34 Min.	
ARMAGEDON		 Imperator	 513	[1:345:6]	 27.06.2014	 Off	
Killsort		 Probezeit	 561	[1:82:12]	 02.07.2014	 On	
g4f		 Imperator	 573	[1:272:4]	 27.06.2014	 54 Min.	
Steveboo		 Probezeit	 591	[2:373:4]	 01.07.2014	 On	
blacklord999		 Imperator	 597	[2:20:10]	 27.06.2014	 2t	
smokingz		 Imperator	 686	[1:376:4]	 27.06.2014	 On	
tomek		 Probezeit	 720	[2:181:6]	 05.07.2014	 On	
Philanthrop		 Probezeit	 723	[1:363:4]	 03.07.2014	 28 Min.	
Wrong Destiny		 Imperator	 866	[1:50:6]	 28.06.2014	 On	
Starchild		 Imperator	 1012	[1:28:7]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1193	[2:23:4]	 27.06.2014	 On	
Zylon		 Probezeit	 1335	[3:113:4]	 02.07.2014	 1t	

Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 78	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 97	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 99	[1:222:6]	 27.06.2014	 19 Min.	
SuaveTheDon		 -XO-	 146	[9:463:4]	 27.06.2014	 Off	
pArmEsAnEXpErtE		 Imperator	 150	[1:421:9]	 27.06.2014	 On	
trendsetter		 Probezeit	 153	[3:114:6]	 01.07.2014	 On	
dywk		 Imperator	 162	[8:130:12]	 27.06.2014	 On	
varus		 Imperator	 336	[3:250:8]	 27.06.2014	 On	
Gajeel		 Probezeit	 414	[2:100:5]	 05.07.2014	 Off	
Blesur		 Probezeit	 415	[2:105:8]	 04.07.2014	 On	
reb0RN		 Imperator	 442	[8:129:9]	 27.06.2014	 On	
ARMAGEDON		 Imperator	 451	[1:345:6]	 27.06.2014	 On	
blindi		 Probezeit	 478	[1:363:6]	 03.07.2014	 1t	
Killsort		 Probezeit	 540	[1:82:12]	 02.07.2014	 48 Min.	
g4f		 Imperator	 558	[1:272:4]	 27.06.2014	 Off	
smokingz		 Imperator	 616	[1:376:4]	 27.06.2014	 On	
blacklord999		 Imperator	 660	[2:20:10]	 27.06.2014	 2t	
Steveboo		 Probezeit	 732	[2:373:4]	 01.07.2014	 On	
tomek		 Probezeit	 763	[2:181:6]	 05.07.2014	 Off	
Philanthrop		 Probezeit	 779	[1:363:4]	 03.07.2014	 Off	
